Name,Overview URL
UC Santa Cruz,"https://www.glassdoor.com/Overview/Working-at-UC-Santa-Cruz-EI_IE32517.11,24.htm"
UCSF Medical Center and UCSF Benioff Children’s Hospitals,"https://www.glassdoor.com/Overview/Working-at-UCSF-Medical-Center-and-UCSF-Benioff-Children-s-Hospitals-EI_IE11851.11,68.htm"
LPL Financial,"https://www.glassdoor.com/Overview/Working-at-LPL-Financial-EI_IE227035.11,24.htm"
LA Fitness,"https://www.glassdoor.com/Overview/Working-at-LA-Fitness-EI_IE309696.11,21.htm"
Adventist Health,"https://www.glassdoor.com/Overview/Working-at-Adventist-Health-EI_IE2701.11,27.htm"
Ulta Beauty,"https://www.glassdoor.com/Overview/Working-at-Ulta-Beauty-EI_IE9466.11,22.htm"
Jack in the Box,"https://www.glassdoor.com/Overview/Working-at-Jack-in-the-Box-EI_IE1373.11,26.htm"
Gap Inc.,"https://www.glassdoor.com/Overview/Working-at-Gap-Inc-EI_IE1070099.11,18.htm"
UCLA Health,"https://www.glassdoor.com/Overview/Working-at-UCLA-Health-EI_IE321780.11,22.htm"
Bio-Rad Laboratories,"https://www.glassdoor.com/Overview/Working-at-Bio-Rad-Laboratories-EI_IE789.11,31.htm"
The Coffee Bean & Tea Leaf,"https://www.glassdoor.com/Overview/Working-at-The-Coffee-Bean-and-Tea-Leaf-EI_IE15816.11,39.htm"
PetSmart,"https://www.glassdoor.com/Overview/Working-at-PetSmart-EI_IE2375.11,19.htm"
Caltech (California),"https://www.glassdoor.com/Overview/Working-at-Caltech-California-EI_IE22139.11,29.htm"
BJ's Restaurants,"https://www.glassdoor.com/Overview/Working-at-BJ-s-Restaurants-EI_IE6490.11,27.htm"
ServiceNow,"https://www.glassdoor.com/Overview/Working-at-ServiceNow-EI_IE403326.11,21.htm"
Oakley,"https://www.glassdoor.com/Overview/Working-at-Oakley-EI_IE4223.11,17.htm"
Six Flags,"https://www.glassdoor.com/Overview/Working-at-Six-Flags-EI_IE6021.11,20.htm"
Prime Healthcare Services,"https://www.glassdoor.com/Overview/Working-at-Prime-Healthcare-Services-EI_IE427769.11,36.htm"
Raley's,"https://www.glassdoor.com/Overview/Working-at-Raley-s-EI_IE2950.11,18.htm"
Dollar Tree,"https://www.glassdoor.com/Overview/Working-at-Dollar-Tree-EI_IE4033.11,22.htm"
Albertsons Companies,"https://www.glassdoor.com/Overview/Working-at-Albertsons-Companies-EI_IE22.11,31.htm"
Guess?,"https://www.glassdoor.com/Overview/Working-at-Guess-EI_IE3209.11,16.htm"
Dexcom,"https://www.glassdoor.com/Overview/Working-at-Dexcom-EI_IE37983.11,17.htm"
Xerox,"https://www.glassdoor.com/Overview/Working-at-Xerox-EI_IE747.11,16.htm"
Keller Williams,"https://www.glassdoor.com/Overview/Working-at-Keller-Williams-EI_IE114145.11,26.htm"
Informatica,"https://www.glassdoor.com/Overview/Working-at-Informatica-EI_IE8797.11,22.htm"
Deluxe Entertainment,"https://www.glassdoor.com/Overview/Working-at-Deluxe-Entertainment-EI_IE16884.11,31.htm"
