Benefits URL,Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Salary URL,Size,Type,Website
"https://www.glassdoor.com/Benefits/Oakmont-Senior-Living-US-Benefits-EI_IE870699.0,21_IL.22,24_IN1.htm","Brookdale Senior Living, Aegis Living",1997,"Windsor, CA",Health Care Services & Hospitals,Oakmont Senior Living,,"https://www.glassdoor.com/Overview/Working-at-Oakmont-Senior-Living-EI_IE870699.11,32.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Oakmont-Senior-Living-Salaries-E870699.htm,1001 to 5000 employees,Company - Private,www.oakmontseniorliving.com
"https://www.glassdoor.com/Benefits/AimLoan-com-US-Benefits-EI_IE416673.0,11_IL.12,14_IN1.htm",Unknown,1998,"San Diego, CA",Lending,AimLoan.com,,"https://www.glassdoor.com/Overview/Working-at-AimLoan-com-EI_IE416673.11,22.htm",,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/AimLoan-com-Salaries-E416673.htm,51 to 200 employees,Company - Private,www.aimloan.com
"https://www.glassdoor.com/Benefits/California-Family-Fitness-US-Benefits-EI_IE332818.0,25_IL.26,28_IN1.htm",Unknown,1991,"Sacramento, CA",Sports & Recreation,California Family Fitness,,"https://www.glassdoor.com/Overview/Working-at-California-Family-Fitness-EI_IE332818.11,36.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/California-Family-Fitness-Salaries-E332818.htm,1001 to 5000 employees,Company - Private,www.californiafamilyfitness.com
"https://www.glassdoor.com/Benefits/Patelco-Credit-Union-US-Benefits-EI_IE23451.0,20_IL.21,23_IN1.htm",,1936,"Pleasanton, CA",Banks & Credit Unions,Patelco Credit Union,,"https://www.glassdoor.com/Overview/Working-at-Patelco-Credit-Union-EI_IE23451.11,31.htm",,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/Patelco-Credit-Union-Salaries-E23451.htm,501 to 1000 employees,Nonprofit Organization,www.patelco.org
"https://www.glassdoor.com/Benefits/Hightail-US-Benefits-EI_IE130606.0,8_IL.9,11_IN1.htm",Unknown,2004,"Campbell, CA",Internet,Hightail,,"https://www.glassdoor.com/Overview/Working-at-Hightail-EI_IE130606.11,19.htm",,$10 to $25 million (USD) per year,https://www.glassdoor.com/Salary/Hightail-Salaries-E130606.htm,51 to 200 employees,Company - Private,www.hightail.com
"https://www.glassdoor.com/Benefits/Velocify-US-Benefits-EI_IE246529.0,8_IL.9,11_IN1.htm","InsideSales.Com, SalesLoft, Outreach",2004,"El Segundo, CA",Computer Hardware & Software,Velocify,,"https://www.glassdoor.com/Overview/Working-at-Velocify-EI_IE246529.11,19.htm",Ellie Mae,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/Velocify-Salaries-E246529.htm,201 to 500 employees,Subsidiary or Business Segment,www.velocify.com
"https://www.glassdoor.com/Benefits/HMC-Architects-US-Benefits-EI_IE26854.0,14_IL.15,17_IN1.htm",Unknown,1940,"Ontario, CA",Architectural & Engineering Services,HMC Architects,,"https://www.glassdoor.com/Overview/Working-at-HMC-Architects-EI_IE26854.11,25.htm",,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/HMC-Architects-Salaries-E26854.htm,201 to 500 employees,Company - Private,www.hmcarchitects.com
"https://www.glassdoor.com/Benefits/Metals-com-US-Benefits-EI_IE2293409.0,10_IL.11,13_IN1.htm",,,"Beverly Hills, CA",,Metals.com,,"https://www.glassdoor.com/Overview/Working-at-Metals-com-EI_IE2293409.11,21.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Metals-com-Salaries-E2293409.htm,201 to 500 employees,Company - Private,www.metals.com
"https://www.glassdoor.com/Benefits/Creative-Circle-US-Benefits-EI_IE115634.0,15_IL.16,18_IN1.htm",,2002,"Los Angeles, CA",Staffing & Outsourcing,Creative Circle,,"https://www.glassdoor.com/Overview/Working-at-Creative-Circle-EI_IE115634.11,26.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Creative-Circle-Salaries-E115634.htm,201 to 500 employees,Company - Public,www.creativecircle.com
"https://www.glassdoor.com/Benefits/Spirent-Communications-US-Benefits-EI_IE38577.0,22_IL.23,25_IN1.htm","Keysight Technologies, Anritsu, Rohde & Schwarz",1936,"Crawley, West Sussex, South East England, England (UK)",Telecommunications Services,Spirent Communications,,"https://www.glassdoor.com/Overview/Working-at-Spirent-Communications-EI_IE38577.11,33.htm",,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/Spirent-Communications-Salaries-E38577.htm,1001 to 5000 employees,Company - Public (LSE: SPT),www.spirent.com
"https://www.glassdoor.com/Benefits/Infoblox-US-Benefits-EI_IE35108.0,8_IL.9,11_IN1.htm",,1999,"Santa Clara, CA",Enterprise Software & Network Solutions,Infoblox,,"https://www.glassdoor.com/Overview/Working-at-Infoblox-EI_IE35108.11,19.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Infoblox-Salaries-E35108.htm,1001 to 5000 employees,Company - Private,www.infoblox.com
"https://www.glassdoor.com/Benefits/Amobee-US-Benefits-EI_IE268560.0,6_IL.7,9_IN1.htm",,2005,"Redwood City, CA",Advertising & Marketing,Amobee,,"https://www.glassdoor.com/Overview/Working-at-Amobee-EI_IE268560.11,17.htm",Singtel,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/Amobee-Salaries-E268560.htm,501 to 1000 employees,Company - Private,www.amobee.com
"https://www.glassdoor.com/Benefits/App-Annie-US-Benefits-EI_IE659235.0,9_IL.10,12_IN1.htm",,2010,"San Francisco, CA",Computer Hardware & Software,App Annie,,"https://www.glassdoor.com/Overview/Working-at-App-Annie-EI_IE659235.11,20.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/App-Annie-Salaries-E659235.htm,201 to 500 employees,Company - Private,www.appannie.com
"https://www.glassdoor.com/Benefits/ModCloth-US-Benefits-EI_IE305608.0,8_IL.9,11_IN1.htm","Anthropologie, Urban Outfitters, Alice & Olivia",2002,"Los Angeles, CA","Department, Clothing, & Shoe Stores",ModCloth,,"https://www.glassdoor.com/Overview/Working-at-ModCloth-EI_IE305608.11,19.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/ModCloth-Salaries-E305608.htm,201 to 500 employees,Company - Public,www.modcloth.com
"https://www.glassdoor.com/Benefits/Avetta-US-Benefits-EI_IE1182913.0,6_IL.7,9_IN1.htm",,2004,"Orem, UT",Enterprise Software & Network Solutions,Avetta,,"https://www.glassdoor.com/Overview/Working-at-Avetta-EI_IE1182913.11,17.htm",,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/Avetta-Salaries-E1182913.htm,201 to 500 employees,Company - Private,www.avetta.com
"https://www.glassdoor.com/Benefits/Cydcor-US-Benefits-EI_IE29246.0,6_IL.7,9_IN1.htm","MarketSource, Sales Direct, MarketStar",1994,"Agoura Hills, CA",Consulting,Cydcor,,"https://www.glassdoor.com/Overview/Working-at-Cydcor-EI_IE29246.11,17.htm",,$1 to $5 million (USD) per year,https://www.glassdoor.com/Salary/Cydcor-Salaries-E29246.htm,51 to 200 employees,Company - Private,www.cydcor.com
